10,30,50,70,90,0.9,1,1.1,1.2,1.3
1,1,3,1,4,1,1,3,1,4
1,0,3,2,4,1,0,3,2,4
2,1,1,4,2,2,1,1,4,2
2,1,3,1,3,2,1,3,1,3
1,2,2,3,2,1,2,2,3,2
3,1,2,1,3,3,1,2,1,3
3,1,2,1,3,3,1,2,1,3
3,2,1,1,3,3,2,1,1,3
3,1,2,1,3,3,1,2,1,3
2,0,3,2,3,2,0,3,2,3
2,1,3,2,2,2,1,3,2,2
2,1,1,2,4,2,1,1,2,4
1,1,1,0,7,1,1,1,0,7
0,1,1,1,7,0,1,1,1,7
1,3,2,0,4,1,3,2,0,4
3,3,3,1,0,3,3,3,1,0
1,1,3,1,4,1,1,3,1,4
3,1,2,0,4,3,1,2,0,4
1,1,2,2,4,1,1,2,2,4
1,2,4,1,2,1,2,4,1,2
2,3,1,2,2,2,3,1,2,2
2,3,1,3,1,2,3,1,3,1
1,1,1,2,5,1,1,1,2,5
4,1,2,1,2,4,1,2,1,2
