40,70,100,1.0,1.1,1.2
4,4,2,4,4,2
1,5,4,1,5,4
1,0,9,1,0,9
7,0,3,7,0,3
6,4,0,6,4,0
4,6,0,4,6,0
3,0,7,3,0,7
0,0,10,0,0,10
0,10,0,0,10,0
0,10,0,0,10,0
5,0,5,5,0,5
2,8,0,2,8,0
0,10,0,0,10,0
6,4,0,6,4,0
0,10,0,0,10,0
0,9,1,0,9,1
5,2,3,5,2,3
10,0,0,10,0,0
0,0,10,0,0,10
0,6,4,0,6,4
0,8,2,0,8,2
0,9,1,0,9,1
10,0,0,10,0,0
0,4,6,0,4,6
5,0,5,5,0,5
0,10,0,0,10,0
4,5,1,4,5,1
0,6,4,0,6,4
0,0,10,0,0,10
7,0,3,7,0,3
0,0,10,0,0,10
2,3,5,2,3,5
3,2,5,3,2,5
5,3,2,5,3,2
6,0,4,6,0,4
4,6,0,4,6,0
7,0,3,7,0,3
7,3,0,7,3,0
10,0,0,10,0,0
0,0,10,0,0,10
0,10,0,0,10,0
10,0,0,10,0,0
0,1,9,0,1,9
0,10,0,0,10,0
0,10,0,0,10,0
1,0,9,1,0,9
0,9,1,0,9,1
0,10,0,0,10,0
10,0,0,10,0,0
8,2,0,8,2,0
5,2,3,5,2,3
0,10,0,0,10,0
8,0,2,8,0,2
10,0,0,10,0,0
0,10,0,0,10,0
6,4,0,6,4,0
6,1,3,6,1,3
0,0,10,0,0,10
1,9,0,1,9,0
3,0,7,3,0,7
4,4,2,4,4,2
5,0,5,5,0,5
10,0,0,10,0,0
0,10,0,0,10,0
4,1,5,4,1,5
0,0,10,0,0,10
7,0,3,7,0,3
2,4,4,2,4,4
5,0,5,5,0,5
10,0,0,10,0,0
10,0,0,10,0,0
0,0,10,0,0,10
5,2,3,5,2,3
10,0,0,10,0,0
0,10,0,0,10,0
10,0,0,10,0,0
7,0,3,7,0,3
0,5,5,0,5,5
0,10,0,0,10,0
3,7,0,3,7,0
7,0,3,7,0,3
4,6,0,4,6,0
0,10,0,0,10,0
1,9,0,1,9,0
8,2,0,8,2,0
0,10,0,0,10,0
0,10,0,0,10,0
0,0,10,0,0,10
5,0,5,5,0,5
5,5,0,5,5,0
0,3,7,0,3,7
7,3,0,7,3,0
4,0,6,4,0,6
10,0,0,10,0,0
0,10,0,0,10,0
0,10,0,0,10,0
0,0,10,0,0,10
4,6,0,4,6,0
10,0,0,10,0,0
0,0,10,0,0,10
