10;30;50;70;90;0.9;1.0;1.1;1.2;1.3;DelayRising;DelayFalling;WorstCase
37;56;1;6;0;37;56;1;6;0;1.44517e-11;1.44212e-11;1.44517e-11 
70;0;7;0;23;70;0;7;0;23;2.25990e-11;2.11921e-11;2.25990e-11 
47;0;0;42;11;47;0;0;42;11;2.19248e-11;2.06440e-11;2.19248e-11 
13;33;5;7;42;13;33;5;7;42;2.45945e-11;2.28564e-11;2.45945e-11 
0;0;0;87;13;0;0;0;87;13;2.50183e-11;1.91788e-11;2.50183e-11 
0;0;45;55;0;0;0;45;55;0;2.14151e-11;1.76200e-11;2.14151e-11 
0;12;33;28;27;0;12;33;28;27;2.45059e-11;2.14633e-11;2.45059e-11 
8;0;79;13;0;8;0;79;13;0;1.75477e-11;1.70120e-11;1.75477e-11 
37;0;17;23;23;37;0;17;23;23;2.32363e-11;2.17520e-11;2.32363e-11 
0;0;79;0;21;0;0;79;0;21;2.41095e-11;1.97707e-11;2.41095e-11 
0;6;0;74;20;0;6;0;74;20;2.41663e-11;2.11960e-11;2.41663e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
27;4;11;29;29;27;4;11;29;29;2.39054e-11;2.22960e-11;2.39054e-11 
0;15;32;28;25;0;15;32;28;25;2.43204e-11;2.13054e-11;2.43204e-11 
0;100;0;0;0;0;100;0;0;0;1.20193e-11;1.11709e-11;1.20193e-11 
37;56;5;0;2;37;56;5;0;2;1.53707e-11;1.52647e-11;1.53707e-11 
16;23;0;60;1;16;23;0;60;1;2.02077e-11;1.92767e-11;2.02077e-11 
24;22;29;11;14;24;22;29;11;14;2.17659e-11;2.04433e-11;2.17659e-11 
13;44;23;20;0;13;44;23;20;0;1.77764e-11;1.71714e-11;1.77764e-11 
19;24;0;9;48;19;24;0;9;48;2.49674e-11;2.31569e-11;2.49674e-11 
0;50;6;18;26;0;50;6;18;26;2.42236e-11;2.12105e-11;2.42236e-11 
59;19;0;22;0;59;19;0;22;0;1.74420e-11;1.68797e-11;1.74420e-11 
34;32;0;0;34;34;32;0;0;34;2.38356e-11;2.22195e-11;2.38356e-11 
3;0;0;23;74;3;0;0;23;74;2.59667e-11;2.39556e-11;2.59667e-11 
22;32;9;0;37;22;32;9;0;37;2.41263e-11;2.24686e-11;2.41263e-11 
26;22;0;20;32;26;22;0;20;32;2.40176e-11;2.23826e-11;2.40176e-11 
0;78;12;0;10;0;78;12;0;10;2.07958e-11;1.83540e-11;2.07958e-11 
14;0;26;11;49;14;0;26;11;49;2.50801e-11;2.32484e-11;2.50801e-11 
57;0;0;21;22;57;0;0;21;22;2.30157e-11;2.15552e-11;2.30157e-11 
34;56;0;0;10;34;56;0;0;10;1.98539e-11;1.88827e-11;1.98539e-11 
1;96;0;3;0;1;96;0;3;0;1.33489e-11;1.34836e-11;1.34836e-11 
22;16;36;21;5;22;16;36;21;5;2.00347e-11;1.90757e-11;2.00347e-11 
0;0;0;0;100;0;0;0;0;100;2.94375e-11;2.13423e-11;2.94375e-11 
19;63;18;0;0;19;63;18;0;0;1.33475e-11;1.35989e-11;1.35989e-11 
14;43;27;0;16;14;43;27;0;16;2.16984e-11;2.03754e-11;2.16984e-11 
0;5;95;0;0;0;5;95;0;0;1.63765e-11;1.48272e-11;1.63765e-11 
0;0;0;0;100;0;0;0;0;100;2.94375e-11;2.13423e-11;2.94375e-11 
65;20;0;2;13;65;20;0;2;13;2.07830e-11;1.96690e-11;2.07830e-11 
42;37;0;3;18;42;37;0;3;18;2.19228e-11;2.06073e-11;2.19228e-11 
30;33;0;26;11;30;33;0;26;11;2.14766e-11;2.02702e-11;2.14766e-11 
0;97;3;0;0;0;97;3;0;0;1.24955e-11;1.15911e-11;1.24955e-11 
0;21;0;79;0;0;21;0;79;0;2.10756e-11;1.87058e-11;2.10756e-11 
3;30;17;32;18;3;30;17;32;18;2.28113e-11;2.13980e-11;2.28113e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
0;100;0;0;0;0;100;0;0;0;1.20193e-11;1.11709e-11;1.20193e-11 
9;15;17;8;51;9;15;17;8;51;2.51477e-11;2.33010e-11;2.51477e-11 
16;0;0;40;44;16;0;0;40;44;2.49880e-11;2.31771e-11;2.49880e-11 
0;0;0;100;0;0;0;0;100;0;2.27640e-11;1.74439e-11;2.27640e-11 
34;0;28;0;38;34;0;28;0;38;2.42534e-11;2.25764e-11;2.42534e-11 
30;42;19;0;9;30;42;19;0;9;1.98036e-11;1.88541e-11;1.98036e-11 
10;2;60;21;7;10;2;60;21;7;2.06730e-11;1.96250e-11;2.06730e-11 
38;28;10;23;1;38;28;10;23;1;1.83915e-11;1.76561e-11;1.83915e-11 
5;33;7;17;38;5;33;7;17;38;2.44575e-11;2.27530e-11;2.44575e-11 
20;6;42;5;27;20;6;42;5;27;2.33863e-11;2.18636e-11;2.33863e-11 
0;0;0;100;0;0;0;0;100;0;2.27640e-11;1.74439e-11;2.27640e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
0;27;37;36;0;0;27;37;36;0;1.99292e-11;1.76446e-11;1.99292e-11 
0;12;1;87;0;0;12;1;87;0;2.11726e-11;1.87935e-11;2.11726e-11 
37;7;15;9;32;37;7;15;9;32;2.38792e-11;2.22628e-11;2.38792e-11 
34;6;14;12;34;34;6;14;12;34;2.40916e-11;2.24450e-11;2.40916e-11 
43;15;15;0;27;43;15;15;0;27;2.31743e-11;2.16935e-11;2.31743e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
21;0;30;30;19;21;0;30;30;19;2.29272e-11;2.15002e-11;2.29272e-11 
25;19;7;26;23;25;19;7;26;23;2.32683e-11;2.17811e-11;2.32683e-11 
0;38;44;18;0;0;38;44;18;0;1.85684e-11;1.65498e-11;1.85684e-11 
14;25;6;9;46;14;25;6;9;46;2.48686e-11;2.30791e-11;2.48686e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
0;77;23;0;0;0;77;23;0;0;1.44687e-11;1.32311e-11;1.44687e-11 
11;0;21;35;33;11;0;21;35;33;2.43003e-11;2.26291e-11;2.43003e-11 
21;51;16;0;12;21;51;16;0;12;2.06394e-11;1.95619e-11;2.06394e-11 
56;0;0;44;0;56;0;0;44;0;1.92353e-11;1.84063e-11;1.92353e-11 
16;4;35;23;22;16;4;35;23;22;2.31744e-11;2.16985e-11;2.31744e-11 
0;49;26;18;7;0;49;26;18;7;2.11606e-11;1.86719e-11;2.11606e-11 
12;41;27;1;19;12;41;27;1;19;2.22064e-11;2.08435e-11;2.22064e-11 
39;11;18;15;17;39;11;18;15;17;2.22863e-11;2.09255e-11;2.22863e-11 
42;5;0;53;0;42;5;0;53;0;1.96175e-11;1.87886e-11;1.96175e-11 
48;0;0;22;30;48;0;0;22;30;2.38677e-11;2.22522e-11;2.38677e-11 
46;29;0;25;0;46;29;0;25;0;1.78243e-11;1.72006e-11;1.78243e-11 
0;0;81;19;0;0;0;81;19;0;1.96264e-11;1.60905e-11;1.96264e-11 
100;0;0;0;0;100;0;0;0;0;7.85961e-12;9.11427e-12;9.11427e-12 
0;49;51;0;0;0;49;51;0;0;1.57316e-11;1.42734e-11;1.57316e-11 
40;0;0;15;45;40;0;0;15;45;2.48586e-11;2.30663e-11;2.48586e-11 
17;0;83;0;0;17;0;83;0;0;1.55494e-11;1.54556e-11;1.55494e-11 
