10;30;50;70;90;0.9;1.0;1.1;1.2;1.3;WorstCase
37;56;1;6;0;37;56;1;6;0;1.82506e-12
70;0;7;0;23;70;0;7;0;23;2.02231e-12
47;0;0;42;11;47;0;0;42;11;1.99129e-12
13;33;5;7;42;13;33;5;7;42;2.08352e-12
13;33;5;7;42;13;33;5;7;42;2.08352e-12
0;0;45;55;0;0;0;45;55;0;1.73427e-12
0;12;33;28;27;0;12;33;28;27;1.25244e-12
8;0;79;13;0;8;0;79;13;0;1.87037e-12
37;0;17;23;23;37;0;17;23;23;2.03559e-12
0;0;79;0;21;0;0;79;0;21;1.91830e-12
0;6;0;74;20;0;6;0;74;20;1.23831e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
27;4;11;29;29;27;4;11;29;29;2.05717e-12
0;15;32;28;25;0;15;32;28;25;1.24600e-12
0;100;0;0;0;0;100;0;0;0;9.61469e-13
37;56;5;0;2;37;56;5;0;2;1.85322e-12
16;23;0;60;1;16;23;0;60;1;1.93545e-12
24;22;29;11;14;24;22;29;11;14;1.98949e-12
13;44;23;20;0;13;44;23;20;0;1.87947e-12
19;24;0;9;48;19;24;0;9;48;2.09627e-12
0;50;6;18;26;0;50;6;18;26;1.24457e-12
59;19;0;22;0;59;19;0;22;0;1.87753e-12
34;32;0;0;34;34;32;0;0;34;2.06012e-12
3;0;0;23;74;3;0;0;23;74;2.13092e-12
22;32;9;0;37;22;32;9;0;37;2.06893e-12
26;22;0;20;32;26;22;0;20;32;2.06257e-12
0;78;12;0;10;0;78;12;0;10;1.15054e-12
14;0;26;11;49;14;0;26;11;49;2.09903e-12
57;0;0;21;22;57;0;0;21;22;2.03010e-12
34;56;0;0;10;34;56;0;0;10;1.94928e-12
1;96;0;3;0;1;96;0;3;0;1.80549e-12
22;16;36;21;5;22;16;36;21;5;1.93854e-12
22;16;36;21;5;22;16;36;21;5;1.93854e-12
19;63;18;0;0;19;63;18;0;0;1.79713e-12
14;43;27;0;16;14;43;27;0;16;1.99122e-12
0;5;95;0;0;0;5;95;0;0;1.02525e-12
65;20;0;2;13;65;20;0;2;13;1.97243e-12
65;20;0;2;13;65;20;0;2;13;1.97243e-12
42;37;0;3;18;42;37;0;3;18;2.00158e-12
30;33;0;26;11;30;33;0;26;11;1.98169e-12
0;97;3;0;0;0;97;3;0;0;9.69082e-13
0;21;0;79;0;0;21;0;79;0;1.13712e-12
3;30;17;32;18;3;30;17;32;18;2.02018e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
0;100;0;0;0;0;100;0;0;0;9.61469e-13
9;15;17;8;51;9;15;17;8;51;2.10179e-12
16;0;0;40;44;16;0;0;40;44;2.09435e-12
34;0;28;0;38;34;0;28;0;38;2.07212e-12
34;0;28;0;38;34;0;28;0;38;2.07212e-12
30;42;19;0;9;30;42;19;0;9;1.94423e-12
10;2;60;21;7;10;2;60;21;7;1.95533e-12
38;28;10;23;1;38;28;10;23;1;1.89661e-12
5;33;7;17;38;5;33;7;17;38;2.07741e-12
20;6;42;5;27;20;6;42;5;27;2.04223e-12
37;7;15;9;32;37;7;15;9;32;2.05897e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
0;27;37;36;0;0;27;37;36;0;1.10704e-12
0;12;1;87;0;0;12;1;87;0;1.13939e-12
37;7;15;9;32;37;7;15;9;32;2.05897e-12
34;6;14;12;34;34;6;14;12;34;2.06577e-12
43;15;15;0;27;43;15;15;0;27;2.03840e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
21;0;30;30;19;21;0;30;30;19;2.02375e-12
25;19;7;26;23;25;19;7;26;23;2.03651e-12
0;38;44;18;0;0;38;44;18;0;1.07766e-12
14;25;6;9;46;14;25;6;9;46;2.09256e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
0;77;23;0;0;0;77;23;0;0;9.97491e-13
11;0;21;35;33;11;0;21;35;33;2.06984e-12
21;51;16;0;12;21;51;16;0;12;1.96614e-12
56;0;0;44;0;56;0;0;44;0;1.91203e-12
16;4;35;23;22;16;4;35;23;22;2.03255e-12
0;49;26;18;7;0;49;26;18;7;1.15067e-12
12;41;27;1;19;12;41;27;1;19;2.00709e-12
39;11;18;15;17;39;11;18;15;17;2.00674e-12
42;5;0;53;0;42;5;0;53;0;1.92098e-12
48;0;0;22;30;48;0;0;22;30;2.05740e-12
46;29;0;25;0;46;29;0;25;0;1.88418e-12
0;0;81;19;0;0;0;81;19;0;1.59133e-12
100;0;0;0;0;100;0;0;0;0;1.73967e-12
0;49;51;0;0;0;49;51;0;0;1.01557e-12
40;0;0;15;45;40;0;0;15;45;2.09192e-12
17;0;83;0;0;17;0;83;0;0;1.82658e-12
15;0;0;54;31;15;0;0;54;31;2.06743e-12
32;53;0;0;15;32;53;0;0;15;1.98291e-12
28;14;33;19;6;28;14;33;19;6;1.94438e-12
0;63;0;37;0;0;63;0;37;0;1.10379e-12
0;37;0;0;63;0;37;0;0;63;1.31875e-12
0;0;73;27;0;0;0;73;27;0;1.63705e-12
0;11;31;21;37;0;11;31;21;37;1.27779e-12
21;22;36;0;21;21;22;36;0;21;2.01591e-12
23;3;0;37;37;23;3;0;37;37;2.07954e-12
37;0;0;57;6;37;0;0;57;6;1.96999e-12
23;40;37;0;0;23;40;37;0;0;1.81168e-12
23;39;17;0;21;23;39;17;0;21;2.01479e-12
22;0;0;15;63;22;0;0;15;63;2.11997e-12
13;9;23;50;5;13;9;23;50;5;1.96108e-12
0;63;0;37;0;0;63;0;37;0;1.10379e-12
0;52;17;30;1;0;52;17;30;1;1.10837e-12
30;21;10;23;16;30;21;10;23;16;2.00647e-12
0;20;30;27;23;0;20;30;27;23;1.23873e-12
0;14;23;35;28;0;14;23;35;28;1.25735e-12
31;15;52;2;0;31;15;52;2;0;1.82972e-12
0;83;0;0;17;0;83;0;0;17;1.19406e-12
0;25;46;0;29;0;25;46;0;29;1.24738e-12
27;0;61;0;12;27;0;61;0;12;1.96959e-12
0;7;56;37;0;0;7;56;37;0;1.10913e-12
20;32;30;18;0;20;32;30;18;0;1.87632e-12
16;26;39;19;0;16;26;39;19;0;1.87999e-12
33;37;0;1;29;33;37;0;1;29;2.04501e-12
88;12;0;0;0;88;12;0;0;0;1.74959e-12
11;37;6;26;20;11;37;6;26;20;2.02515e-12
0;65;0;18;17;0;65;0;18;17;1.20814e-12
0;49;49;2;0;0;49;49;2;0;1.02631e-12
21;12;26;21;20;21;12;26;21;20;2.02359e-12
10;65;4;21;0;10;65;4;21;0;1.87730e-12
27;0;61;0;12;27;0;61;0;12;1.96959e-12
0;81;10;9;0;0;81;10;9;0;1.04149e-12
49;0;24;0;27;49;0;24;0;27;2.03878e-12
