40;70;100;1.0;1.1;1.2;WorstCase
4;4;2;4;4;2;1.36921e-11 
1;5;4;1;5;4;1.49118e-11 
1;0;9;1;0;9;1.59727e-11 
7;0;3;7;0;3;1.39837e-11 
6;4;0;6;4;0;1.06142e-11 
4;6;0;4;6;0;1.11248e-11 
3;0;7;3;0;7;1.56872e-11 
0;0;10;0;0;10;1.75192e-11 
0;10;0;0;10;0;1.22397e-11 
0;10;0;0;10;0;1.22397e-11 
5;0;5;5;0;5;1.50718e-11 
2;8;0;2;8;0;1.14264e-11 
0;10;0;0;10;0;1.22397e-11 
6;4;0;6;4;0;1.06142e-11 
0;10;0;0;10;0;1.22397e-11 
0;9;1;0;9;1;1.36568e-11 
5;2;3;5;2;3;1.42078e-11 
10;0;0;10;0;0;8.07704e-12 
0;0;10;0;0;10;1.75192e-11 
0;6;4;0;6;4;1.56606e-11 
0;8;2;0;8;2;1.46272e-11 
0;9;1;0;9;1;1.36568e-11 
10;0;0;10;0;0;8.07704e-12 
0;4;6;0;4;6;1.62974e-11 
5;0;5;5;0;5;1.50718e-11 
0;10;0;0;10;0;1.22397e-11 
4;5;1;4;5;1;1.27071e-11 
0;6;4;0;6;4;1.56606e-11 
0;0;10;0;0;10;1.75192e-11 
7;0;3;7;0;3;1.39837e-11 
0;0;10;0;0;10;1.75192e-11 
2;3;5;2;3;5;1.52233e-11 
3;2;5;3;2;5;1.51778e-11 
5;3;2;5;3;2;1.35862e-11 
6;0;4;6;0;4;1.46055e-11 
4;6;0;4;6;0;1.11248e-11 
7;0;3;7;0;3;1.39837e-11 
7;3;0;7;3;0;1.02475e-11 
10;0;0;10;0;0;8.07704e-12 
0;0;10;0;0;10;1.75192e-11 
0;10;0;0;10;0;1.22397e-11 
10;0;0;10;0;0;8.07704e-12 
0;1;9;0;1;9;1.67291e-11 
0;10;0;0;10;0;1.22397e-11 
0;10;0;0;10;0;1.22397e-11 
1;0;9;1;0;9;1.59727e-11 
0;9;1;0;9;1;1.36568e-11 
0;10;0;0;10;0;1.22397e-11 
10;0;0;10;0;0;8.07704e-12 
8;2;0;8;2;0;9.75145e-12 
5;2;3;5;2;3;1.42078e-11 
0;10;0;0;10;0;1.22397e-11 
8;0;2;8;0;2;1.30814e-11 
10;0;0;10;0;0;8.07704e-12 
0;10;0;0;10;0;1.22397e-11 
6;4;0;6;4;0;1.06142e-11 
6;1;3;6;1;3;1.41285e-11 
0;0;10;0;0;10;1.75192e-11 
1;9;0;1;9;0;1.14820e-11 
3;0;7;3;0;7;1.56872e-11 
4;4;2;4;4;2;1.36921e-11 
5;0;5;5;0;5;1.50718e-11 
10;0;0;10;0;0;8.07704e-12 
0;10;0;0;10;0;1.22397e-11 
4;1;5;4;1;5;1.51380e-11 
0;0;10;0;0;10;1.75192e-11 
7;0;3;7;0;3;1.39837e-11 
2;4;4;2;4;4;1.48776e-11 
5;0;5;5;0;5;1.50718e-11 
10;0;0;10;0;0;8.07704e-12 
10;0;0;10;0;0;8.07704e-12 
0;0;10;0;0;10;1.75192e-11 
5;2;3;5;2;3;1.42078e-11 
10;0;0;10;0;0;8.07704e-12 
0;10;0;0;10;0;1.22397e-11 
10;0;0;10;0;0;8.07704e-12 
7;0;3;7;0;3;1.39837e-11 
0;5;5;0;5;5;1.59867e-11 
0;10;0;0;10;0;1.22397e-11 
3;7;0;3;7;0;1.12854e-11 
7;0;3;7;0;3;1.39837e-11 
4;6;0;4;6;0;1.11248e-11 
0;10;0;0;10;0;1.22397e-11 
1;9;0;1;9;0;1.14820e-11 
8;2;0;8;2;0;9.75145e-12 
0;10;0;0;10;0;1.22397e-11 
0;10;0;0;10;0;1.22397e-11 
0;0;10;0;0;10;1.75192e-11 
5;0;5;5;0;5;1.50718e-11 
5;5;0;5;5;0;1.08944e-11 
0;3;7;0;3;7;1.64925e-11 
7;3;0;7;3;0;1.02475e-11 
4;0;6;4;0;6;1.54280e-11 
10;0;0;10;0;0;8.07704e-12 
0;10;0;0;10;0;1.22397e-11 
0;10;0;0;10;0;1.22397e-11 
0;0;10;0;0;10;1.75192e-11 
4;6;0;4;6;0;1.11248e-11 
10;0;0;10;0;0;8.07704e-12 
0;0;10;0;0;10;1.75192e-11 
